cnpj,razao_social,cpf_cnpj_socio,nome_socio,tipo_socio,qualificacao_socio
29755471000191,2LS AGRO LTDA,,ALBERTO JORGE LARANJEIRO,Pessoa Física,Sócio-Administrador
29755471000191,2LS AGRO LTDA,,JOSE GUILHERME LUXNICH,Pessoa Física,Sócio
29755471000191,2LS AGRO LTDA,,NELSON SANCHES BEZERRA JUNIOR,Pessoa Física,Sócio-Administrador
29755471000191,2LS AGRO LTDA,,THIAGO GODINHO DOS SANTOS,Pessoa Física,Sócio
05402758000170,2MC AGRO INDUSTRIAL LTDA,,ANTONIO CARLOS DE OLIVEIRA,Pessoa Física,Sócio
05402758000170,2MC AGRO INDUSTRIAL LTDA,,GILKINSON BOTELHO DOS ANJOS,Pessoa Física,Sócio-Administrador
27117303000145,3B AGRO LTDA,,ANIELA LIMA DE CASTILHO BOMBARDELLI,Pessoa Física,Sócio
27117303000145,3B AGRO LTDA,,JANDIR FAUSTO BOMBARDELLI,Pessoa Física,Sócio-Administrador
27455040000184,3D AGRO COMERCIAL AGROPECUARIA LTDA,,DIEGO DE ANDRADE REGIS,Pessoa Física,Sócio-Administrador
27455040000184,3D AGRO COMERCIAL AGROPECUARIA LTDA,,DIEGO PACHECO DE SOUZA,Pessoa Física,Sócio-Administrador
27455040000184,3D AGRO COMERCIAL AGROPECUARIA LTDA,,DIKSON PACHECO DE SOUZA,Pessoa Física,Sócio-Administrador
30559422000162,3D AGRO SOLUCOES AGRICOLAS EIRELI,,ARTHUR CASTRO GAZOTTO,Pessoa Física,Titular Pessoa Física Residente ou Domiciliado no Brasil
05748771000185,3FL AGRO-PASTORIL S/A,,FLORIO FONTOLAN FILHO,Pessoa Física,Presidente
05748771000185,3FL AGRO-PASTORIL S/A,,LEDA MARA ANJOS CARON,Pessoa Física,Diretor
09407979000191,3 JOTAS AGRO COMERCIAL LTDA,,IKUO HONDA JUNIOR,Pessoa Física,Sócio-Administrador
09407979000191,3 JOTAS AGRO COMERCIAL LTDA,,JOAO DAIGO KAIEDA HONDA,Pessoa Física,Sócio-Administrador
10386671000196,3 MARIAS FABRICACAO DE ALIMENTOS E BEBIDAS AGRO ORGANICOS LTDA,,GEORGE JOSE MARTINS,Pessoa Física,Sócio-Administrador
10386671000196,3 MARIAS FABRICACAO DE ALIMENTOS E BEBIDAS AGRO ORGANICOS LTDA,,MILENA MIRANDA MELO DA MATA MARTINS,Pessoa Física,Sócio
28715353000197,4 AGRO TECNOLOGIA LTDA.,,ALEXANDRE LOPES LACERDA,Pessoa Física,Administrador
28715353000197,4 AGRO TECNOLOGIA LTDA.,14803263000143,CLR CONSULTORIA EMPRESARIAL LTDA.,Pessoa Jurídica,Sócio
28715353000197,4 AGRO TECNOLOGIA LTDA.,,SILAS MATHEUS DA SILVA,Pessoa Física,Sócio
26174184000108,4ALS AGRO PICOLE LTDA,,ADRIANO LEVI SPIRLANDELI,Pessoa Física,Sócio
26174184000108,4ALS AGRO PICOLE LTDA,,ALBERTO LUCIO SPIRLANDELI,Pessoa Física,Sócio
26174184000108,4ALS AGRO PICOLE LTDA,,ANALIA LIDIA SPIRLANDELI JARDIM,Pessoa Física,Sócio
26174184000108,4ALS AGRO PICOLE LTDA,,ANDRE LUIZ SPIRLANDELI,Pessoa Física,Sócio
